reg,reg_name,gender,n_orp
1,Caribe,Female,1026.6193713485784
1,Caribe,Male,3106.434294938051
2,Eje cafetero y Antioquia,Female,1224.5278980356584
2,Eje cafetero y Antioquia,Male,3673.5151496359194
3,Pacífica,Female,1117.2026448105544
3,Pacífica,Male,3332.467411287487
4,Central,Female,1114.8207272679733
4,Central,Male,3384.4737520396734
5,Llanos,Female,988.3346303576658
5,Llanos,Male,3173.708007148034
6,Amazonía,Female,969.1437954289028
6,Amazonía,Male,3102.4975058054724
