reg,reg_name,gender,n_orp
1,Caribe,Female,38225.52129779
1,Caribe,Male,115666.11113655
2,Eje cafetero y Antioquia,Female,27832.70900902
2,Eje cafetero y Antioquia,Male,83496.56905658
3,Pacífica,Female,26513.09074191
3,Pacífica,Male,79085.03553973
4,Central,Female,52893.748475759996
4,Central,Male,160579.63310559
5,Llanos,Female,6103.80036615
5,Llanos,Male,19600.32513388
6,Amazonía,Female,3701.68551455
6,Amazonía,Male,11850.11979681
