mun,mun_name,gender,year,n_orp
8433,Malambo,Female,2015,1.0116101759811276
8436,Manatí,Female,2015,1.014378866587402
8520,Palmar De Varela,Female,2015,1.1627055832658024
8549,Piojó,Female,2015,1.3121615338011492
8558,Polonuevo,Female,2015,1.090404478793137
8560,Ponedera,Female,2015,1.1003806468878363
8573,Puerto Colombia,Female,2015,1.1076032192023821
8606,Repelón,Female,2015,1.2000606496025887
8634,Sabanagrande,Female,2015,1.0947011865472092
8638,Sabanalarga,Female,2015,1.1051166833132404
8675,Santa Lucía,Female,2015,1.0520714395534876
8685,Santo Tomás,Female,2015,1.139929919697593
8758,Soledad,Female,2015,1.0282896953973193
8770,Suan,Female,2015,1.1408507030341974
8832,Tubará,Female,2015,1.1186384865006034
8849,Usiacurí,Female,2015,1.1601949592582463
11001,"Bogotá, D.C.",Female,2015,1.3420105558054536
13001,Cartagena De Indias,Female,2015,1.2040971552775248
13006,Achí,Female,2015,1.1679125952323701
13030,Altos Del Rosario,Female,2015,1.0459780087781174
13042,Arenal,Female,2015,1.248589157688407
13052,Arjona,Female,2015,1.3064009400612353
13062,Arroyohondo,Female,2015,1.4700577754367656
13074,Barranco De Loba,Female,2015,1.0395289088541713
13140,Calamar,Female,2015,1.3124416532802965
13160,Cantagallo,Female,2015,1.1899095578121266
13188,Cicuco,Female,2015,1.1774048532502455
13212,Córdoba,Female,2015,1.2676686778887627
13222,Clemencia,Female,2015,1.23689499329335
13244,El Carmen De Bolívar,Female,2015,1.279097760735121
13248,El Guamo,Female,2015,1.4750760291337819
13268,El Peñón,Female,2015,1.0742087888556429
13300,Hatillo De Loba,Female,2015,1.0463895918304875
13430,Magangué,Female,2015,1.2541964216905084
13433,Mahates,Female,2015,1.2792733156510332
13440,Margarita,Female,2015,1.24268176413494
13442,María La Baja,Female,2015,1.1983236311459924
13458,Montecristo,Female,2015,1.0886110627967038
13468,Mompós,Female,2015,1.1608331506599703
13473,Morales,Female,2015,1.0947842136760562
13490,Norosí,Female,2015,0.3399463775817824
13549,Pinillos,Female,2015,1.0843958569534062
13580,Regidor,Female,2015,0.9679264083769469
13600,Río Viejo,Female,2015,1.1207561937515529
13620,San Cristóbal,Female,2015,1.3344176643368462
13647,San Estanislao,Female,2015,1.3253124687921611
13650,San Fernando,Female,2015,1.0925744097035517
13654,San Jacinto,Female,2015,1.409727337641347
13655,San Jacinto Del Cauca,Female,2015,1.136309082791829
13657,San Juan Nepomuceno,Female,2015,1.456741211998988
13667,San Martín De Loba,Female,2015,1.040150180046053
13670,San Pablo,Female,2015,1.126042022103852
13673,Santa Catalina,Female,2015,1.3007553311102016
13683,Santa Rosa,Female,2015,1.3962245507718771
13688,Santa Rosa Del Sur,Female,2015,1.121074365722594
13744,Simití,Female,2015,1.1948076942472547
13760,Soplaviento,Female,2015,1.3472318430396553
13780,Talaigua Nuevo,Female,2015,1.015970348239512
13810,Tiquisio,Female,2015,0.9697242290695565
13836,Turbaco,Female,2015,1.1004964182189398
13838,Turbaná,Female,2015,1.305574749061691
13873,Villanueva,Female,2015,1.2261559004233298
13894,Zambrano,Female,2015,1.3020251560106126
15001,Tunja,Female,2015,1.4349073834951094
15022,Almeida,Female,2015,1.5841910661148695
15047,Aquitania,Female,2015,1.1230696128513684
15051,Arcabuco,Female,2015,1.1372507987397549
15087,Belén,Female,2015,1.2497961626943739
15090,Berbeo,Female,2015,1.4948462611412203
15092,Betéitiva,Female,2015,1.4271104636552832
15097,Boavita,Female,2015,1.4523166417765088
15104,Boyacá,Female,2015,1.482765491551515
15106,Briceño,Female,2015,1.3063625018535665
15109,Buenavista,Female,2015,1.3433409455029945
15114,Busbanzá,Female,2015,1.1558235070777014
15131,Caldas,Female,2015,1.4303184108202556
15135,Campohermoso,Female,2015,1.164310775909412
15162,Cerinza,Female,2015,1.475294577831848
15172,Chinavita,Female,2015,1.5469270503384165
15176,Chiquinquirá,Female,2015,1.5390594175290115
15180,Chiscas,Female,2015,1.5479502079516183
15183,Chita,Female,2015,1.1190734485829894
15185,Chitaraque,Female,2015,1.2272810948597812
15187,Chivatá,Female,2015,0.9975792275241663
15189,Ciénega,Female,2015,1.149247122083656
15204,Cómbita,Female,2015,1.2951682135620188
15212,Coper,Female,2015,1.2632989542502226
15215,Corrales,Female,2015,1.3330828462271476
15218,Covarachía,Female,2015,1.354241688395969
15223,Cubará,Female,2015,0.870592398581495
15224,Cucaita,Female,2015,1.3940530681053662
15226,Cuítiva,Female,2015,1.1002610712094125
15232,Chíquiza,Female,2015,1.3066379872782654
15236,Chivor,Female,2015,1.2237038328110956
15238,Duitama,Female,2015,1.4049014151964798
15244,El Cocuy,Female,2015,1.5561937047750376
15248,El Espino,Female,2015,1.292127671606897
15272,Firavitoba,Female,2015,1.1955245731720192
15276,Floresta,Female,2015,1.5630356830991021
15293,Gachantivá,Female,2015,1.282788949437895
15296,Gámeza,Female,2015,1.225565415235534
15299,Garagoa,Female,2015,1.3686100061998525
15317,Guacamayas,Female,2015,1.1114849004015444
15322,Guateque,Female,2015,1.546859829831826
15325,Guayatá,Female,2015,1.4424106805082788
15332,Güicán De La Sierra,Female,2015,1.1031899466575943
15362,Iza,Female,2015,1.477156963741375
15367,Jenesano,Female,2015,1.20128933757528
15368,Jericó,Female,2015,1.5771873782820942
15377,Labranzagrande,Female,2015,1.5761140465452064
15380,La Capilla,Female,2015,1.1985137309353366
15401,La Victoria,Female,2015,1.5986896537780335
15403,La Uvita,Female,2015,1.3170360369140952
15407,Villa De Leyva,Female,2015,1.246899767276125
15425,Macanal,Female,2015,1.181463255589187
15442,Maripí,Female,2015,1.463361066556019
15455,Miraflores,Female,2015,1.4297059291170413
15464,Mongua,Female,2015,1.3735926166671293
15466,Monguí,Female,2015,1.1142149239078867
15469,Moniquirá,Female,2015,1.5563132018242172
15476,Motavita,Female,2015,1.2603744411638238
15480,Muzo,Female,2015,1.2699692817189854
15491,Nobsa,Female,2015,1.1548212378524105
15494,Nuevo Colón,Female,2015,1.3559532108255399
15500,Oicatá,Female,2015,1.2069666669320198
15507,Otanche,Female,2015,1.2275868654632263
15511,Pachavita,Female,2015,1.4111154685988294
15514,Páez,Female,2015,1.1904843996318917
15516,Paipa,Female,2015,1.2764444727767126
15518,Pajarito,Female,2015,1.1035926170635144
15522,Panqueba,Female,2015,1.2324045710082545
15531,Pauna,Female,2015,1.4342397930157038
15533,Paya,Female,2015,1.102298195798431
15537,Paz De Río,Female,2015,1.171069562369606
15542,Pesca,Female,2015,1.0447969117760336
15550,Pisba,Female,2015,1.1103510091008262
15572,Puerto Boyacá,Female,2015,1.7003426415807397
15580,Quípama,Female,2015,1.6753761699939853
15599,Ramiriquí,Female,2015,1.15448652999289
15600,Ráquira,Female,2015,1.1557649716426586
15621,Rondón,Female,2015,1.302780290218488
15632,Saboyá,Female,2015,1.186319575934442
15638,Sáchica,Female,2015,1.0383383307028244
15646,Samacá,Female,2015,1.280600532260801
15660,San Eduardo,Female,2015,1.5117752211240032
15664,San José De Pare,Female,2015,1.524022864559278
15667,San Luis De Gaceno,Female,2015,1.338938315722529
15673,San Mateo,Female,2015,1.2775966729404113
15676,San Miguel De Sema,Female,2015,1.252473072223296
15681,San Pablo De Borbur,Female,2015,1.2460523729159685
15686,Santana,Female,2015,1.4207841381045996
15690,Santa María,Female,2015,1.249702292406104
15693,Santa Rosa De Viterbo,Female,2015,1.2864572589358814
15696,Santa Sofía,Female,2015,1.3554025550031676
15720,Sativanorte,Female,2015,1.5482359936106984
15723,Sativasur,Female,2015,1.3364308941989171
15740,Siachoque,Female,2015,1.0295209828400294
15753,Soatá,Female,2015,1.2646829801366934
15755,Socotá,Female,2015,1.190369010982947
15757,Socha,Female,2015,1.0472565118577821
15759,Sogamoso,Female,2015,1.4225888659893617
15761,Somondoco,Female,2015,1.8662913963437167
15762,Sora,Female,2015,1.3835711872914114
15763,Sotaquirá,Female,2015,1.0802373540327843
15764,Soracá,Female,2015,1.104851518221877
15774,Susacón,Female,2015,1.2283907878576843
15776,Sutamarchán,Female,2015,1.2592287195364065
15778,Sutatenza,Female,2015,1.6811089004738948
15790,Tasco,Female,2015,1.0855339245304412
15798,Tenza,Female,2015,1.6772141530440885
15804,Tibaná,Female,2015,1.3088348552022613
15806,Tibasosa,Female,2015,1.1325817658661055
15808,Tinjacá,Female,2015,1.2355164049824894
15810,Tipacoque,Female,2015,1.3833254095432126
15814,Toca,Female,2015,1.0480008437152906
15816,Togüí,Female,2015,1.456328392535383
15820,Tópaga,Female,2015,1.0873068614397496
15822,Tota,Female,2015,1.1409404931965417
